Project,EditType,AllSingleEdits,SingleDeletes
arthas,LINE,526538,407
arthas,STATEMENT,343642,339
disruptor,LINE,57272,136
disruptor,STATEMENT,16693,84
druid,LINE,38907104,10613
druid,STATEMENT,46219904,9941
gson,LINE,1327524,1252
gson,STATEMENT,903400,1070
jcodec,LINE,6386328,7997
jcodec,STATEMENT,4203594,6924
junit4,LINE,734594,2688
junit4,STATEMENT,405950,2057
mybatis-3,LINE,2761544,4047
mybatis-3,STATEMENT,1738527,3500
opennlp,LINE,2095158,4541
opennlp,STATEMENT,1438388,4116
spark,LINE,226328,830
spark,STATEMENT,116515,692
spatial4j,LINE,445162,947
spatial4j,STATEMENT,273041,800
