Project,EditType,PatchSize,Copy,Delete,Replace,Swap,CopyAll,DeleteAll,ReplaceAll,SwapAll,CopyCompiled,DeleteCompiled,ReplaceCompiled,SwapCompiled
arthas,LINE,1,264,130,93,74,2069,348,1848,1030,352,137,152,102
arthas,STATEMENT,1,633,193,584,271,1973,235,1779,975,806,211,825,371
disruptor,LINE,1,76,26,15,48,2239,136,2017,815,86,31,25,62
disruptor,STATEMENT,1,184,25,139,97,1633,70,1376,424,261,29,219,140
druid,LINE,1,188,480,85,196,2491,1881,2324,1953,246,624,122,281
druid,STATEMENT,1,412,633,269,385,2483,1493,2067,1286,495,827,403,568
gson,LINE,1,111,144,50,67,2460,845,2296,1686,129,206,94,100
gson,STATEMENT,1,188,207,155,192,2372,615,1923,1085,244,302,276,314
jcodec,LINE,1,145,217,38,174,2492,1976,2333,2098,218,518,89,297
jcodec,STATEMENT,1,299,322,116,316,2486,1568,2114,1575,449,833,312,605
junit4,LINE,1,79,185,37,53,2473,1458,2241,1671,87,203,44,62
junit4,STATEMENT,1,226,265,210,196,2429,1084,1864,733,246,290,254,215
mybatis-3,LINE,1,122,259,46,128,2488,1632,2305,1891,137,377,68,191
mybatis-3,STATEMENT,1,348,336,193,299,2451,1238,2070,1228,439,529,327,467
opennlp,LINE,1,114,181,27,87,2472,1500,2285,1913,149,325,60,170
opennlp,STATEMENT,1,378,297,165,233,2416,1128,2067,1505,509,580,306,424
spark,LINE,1,86,88,19,58,2399,655,2221,1478,154,187,64,160
spark,STATEMENT,1,238,116,163,140,2226,470,1831,1055,543,267,439,341
spatial4j,LINE,1,91,137,42,77,2449,688,2315,1430,130,200,74,142
spatial4j,STATEMENT,1,224,158,194,313,2373,475,1966,925,283,235,306,456
